State,City,Latitude,Longitude,HotelName,StarRating,Description,HotelFacilities,Attractions,Address,ZipCode,PhoneNumber,HotelWebsiteUrl
Oregon,Albany,44.63339,-123.1082,The Pfeiffer Cottage,3.0,HotelDescription#Further information about this hotel will be available shortly,NO Wheelchair-accessible NO Garage NO Large pets allowed (over 5 kg) NO Small pets allowed (under 5 kg) NO Disability-friendly bathroom NO Connecting rooms NO Car park NO Smoking rooms,,Ferry Street Sw 530 530 97321 Albany AlbanyOregon 97321 ,97321,8137622000,http://www.thepfeiffercottageinn.com/The_Pfeiffer_Cottage_Inn/Welcome.html
Oregon,Albany,44.63819,-123.07213,Budget Inn Albany,2.0,"Located off Interstate 5 in Albany, Oregon, this motel is 1 mile from the Willamette River and offers rooms with a balcony and free Wi-Fi.  Coffee, tea and biscuits are available in the motel office.

A microwave, a refrigerator and tea and coffee-making facilities are provided in every room at Budget Inn Albany. The rooms are equipped with cable TV.

A basketball court and garden are part of this Albany motel. 24-hour reception and a guest launderette are also available.

The Albany Golf Club is 10 minutes drive from Albany Budget Inn. Oregon State University is less than 14 miles away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Undeclared guests or pets may be subject to a an extra charge of USD 50.",Free self parking Meeting rooms 24-hour front desk Garden Non-smoking rooms Business center Laundry facilities Dry cleaning/laundry service Family rooms Ironing service Internet access Express check-in Children s playground BBQ facilities Packed lunches Heating Fax/photocopying Luggage storage Free WiFi Free WiFi Air conditioning Designated smoking areas Snack bar/deli Private check-in/check-out Area shuttle (surcharge) Vending machine - Snacks & Drink Mini-market on site Daily housekeeping Grocery/convenience store Parking onsite Kids  outdoor play equipment Children television networks,,2727 Pacific Boulevard Southeast AlbanyOregon 97321 ,97321,5419264246,https://www.booking.com/hotel/us/budget-inn-albany.html
Oregon,Albany,44.641453,-123.0653,Albany Inn & Suites,2.0,"<p>HeadLine : Near Takena Landing Park</p><p>Location : When you stay at Quality Inn & Suites in Albany, you ll be in a shopping district, within a 5-minute drive of Linn County Expo Center and Timber-Linn Memorial Park.  This hotel is 13.2 mi (21.2 km) from Oregon State University and 1.1 mi (1.8 km) from Takena Landing Park.</p><p>Rooms : Make yourself at home in one of the 62 air-conditioned rooms featuring microwaves and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided once per stay.</p><p>Dining : A complimentary buffet breakfast is served on weekdays from 6 AM to 9 AM and on weekends from 6 AM to 10 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve rollaway/extra beds</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Visual alarms in hallways Handrails in stairways 24-hour front desk Daily Wheelchair-accessible meeting spaces/business center Barbecue grill(s) Smoke-free property Laundry facilities elevator Free self parking Fitness facilities 24-hour business center secured parking Uncovered parking Wheelchair accessible (may have limitations) Vending machine Wheelchair-accessible van parking Wheelchair-accessible path to elevator Wheelchair-accessible spa Wheelchair-accessible registration desk Pool hoist on site Free WiFi Wheelchair-accessible pool Wheelchair-accessible public washroom Number of spa tubs - 1 Braille or raised signage Well-lit path to entrance Number of indoor pools - 1 Wheelchair accessible parking Stair-free path to entrance Roll-in shower (in select rooms) Accessible bathroom (in select rooms) 24-hour fitness facilities Free Buffet Breakfast Eco-friendly cleaning products provided Free breakfast Coin laundry on site,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Takena Landing Park - 1.2 km / 0.8 mi <br /> Linn County Expo Center - 1.3 km / 0.8 mi <br /> Willamette River - 1.5 km / 0.9 mi <br /> Timber-Linn Memorial Park - 2 km / 1.2 mi <br /> Hackleman District - 3 km / 1.9 mi <br /> The Albany Brass Ring Historical Carousel and Museum - 4.1 km / 2.6 mi <br /> Monteith District - 4.5 km / 2.8 mi <br /> Calapooia River - 4.8 km / 3 mi <br /> Bowers Rock State Park - 6.8 km / 4.2 mi <br /> South Santiam River - 8.9 km / 5.5 mi <br /> Santiam River - 9.1 km / 5.6 mi <br /> Springhill Cellars Winery - 9.9 km / 6.1 mi <br /> North Santiam River - 14.9 km / 9.3 mi <br /> McDonald Dunn Forest - 17.6 km / 10.9 mi <br /> Good Samaritan Regional Medical Center - 18.1 km / 11.2 mi <br /> </p><p>The nearest airports are:<br />Portland International Airport (PDX) - 121.6 km / 75.6 mi<br /> Corvallis  OR (CVO-Corvallis Municipal) - 33.9 km / 21.1 mi<br /> Salem  OR (SLE-McNary Field) - 33.2 km / 20.6 mi<br /> </p><p>The preferred airport for Quality Inn & Suites is Portland International Airport (PDX). </p>,251 Airport Rd Southeast SoutheastAlbanyOregon 97322 ,97322,5419280921,https://www.choicehotels.com/oregon/albany/econo-lodge-hotels/or013?source=gyxt
Oregon,Albany,44.631657,-123.057045,Best Western Plus Prairie Inn,2.0,"<p>HeadLine : Near Timber-Linn Memorial Park</p><p>Location : A stay at Best Western Plus Prairie Inn places you in the heart of Albany, steps from Timber-Linn Memorial Park and a 3-minute drive from Linn County Expo Center.  This hotel is 13.9 mi (22.4 km) from Oregon State University and 2 mi (3.3 km) from Hackleman District.</p><p>Rooms : Make yourself at home in one of the 74 air-conditioned rooms featuring microwaves and flat-screen televisions. Complimentary wired Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers. Conveniences include desks and complimentary newspapers, and housekeeping is provided daily.</p><p>Dining : Grab a bite from the snack bar/deli serving guests of Best Western Plus Prairie Inn. A complimentary buffet breakfast is served daily from 6:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Fitness facilities Conference space Conference space size (feet) - 610 24-hour business center Dry cleaning/laundry service Wheelchair accessible (may have limitations) Vending machine Number of meeting rooms - 1 Wheelchair-accessible path to elevator Conference space size (meters) - 55 Free wired Internet elevator Television in common areas Skydiving Nearby Free WiFi Free self parking Number of spa tubs - 1 Braille or raised signage Assistive listening devices available Number of indoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Free newspapers in lobby Roll-in shower (in select rooms) Accessible bathroom (in select rooms) Fireplace in lobby Free Buffet Breakfast No accessible shuttle Free breakfast Multilingual staff Business center 24-hour front desk Number of accessible parking spaces - 2 Daily Golfing nearby Safe-deposit box at front desk Smoke-free property Snack bar/deli Hiking/biking trails nearby Laundry facilities,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Timber-Linn Memorial Park - 0.1 km / 0.1 mi <br /> Linn County Expo Center - 1.5 km / 0.9 mi <br /> Hackleman District - 3.6 km / 2.2 mi <br /> Takena Landing Park - 3.8 km / 2.4 mi <br /> Willamette River - 4.1 km / 2.5 mi <br /> Monteith District - 4.5 km / 2.8 mi <br /> The Albany Brass Ring Historical Carousel and Museum - 5.1 km / 3.2 mi <br /> Calapooia River - 5.7 km / 3.6 mi <br /> Bowers Rock State Park - 7.8 km / 4.9 mi <br /> South Santiam River - 9.4 km / 5.9 mi <br /> Santiam River - 9.9 km / 6.1 mi <br /> Springhill Cellars Winery - 11.1 km / 6.9 mi <br /> North Santiam River - 16.4 km / 10.2 mi <br /> Hoffman Bridge - 16.7 km / 10.4 mi <br /> Larwood Bridge - 18.6 km / 11.6 mi <br /> </p><p>The nearest airports are:<br />Mahlon Sweet Field Airport (EUG) - 77.7 km / 48.3 mi<br /> Corvallis  OR (CVO-Corvallis Municipal) - 33.3 km / 20.7 mi<br /> Salem  OR (SLE-McNary Field) - 34.7 km / 21.5 mi<br /> </p><p>The preferred airport for Best Western Plus Prairie Inn is Mahlon Sweet Field Airport (EUG). </p>,1100 Price Road Se AlbanyOregon 97322 ,97322,5419285050,http://albanybestwestern.com
Oregon,Albany,44.52023,-122.9027,Valley Inn Motel Lebanon Oregon,2.0,"Located on Highway 20, this hotel is a 5-minute drive from the Lebanon State Airport. It features rooms with free Wi-Fi access and offers fax and copy services.

Kitchen facilities like a microwave, refrigerator, and coffee maker are part of every air-conditioned room at Valley Inn. They also have cable TV and an iron.

Waterloo County Park is 5.1 miles from the Lebanon Inn Motel. Mallard Creek Golf Course is 7.7 miles away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
Please inform Valley Inn - Lebanon Oregon in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Upon check-in photo identification and credit card is required. All special requests are subject to availability upon check-in. Special requests cannot be guaranteed and may incur additional charges.

This is a dogs-only property. Additional charges apply. Please contact hotel directly for more information.",Parking Pets allowed Free parking internet services BBQ facilities Bowling Heating Fax/photocopying wifi Free WiFi Air conditioning vending machine (drinks) parking on site wifi available in all areas Fire extinguishers,,2885 South Santiam Highway LebanonOregon 97355 ,97355,5412588184,https://www.booking.com/hotel/us/lebanon-2885-south-santiam-highway.html
Oregon,Albany,44.62972,-123.06012,Phoenix Inn Suites Albany,2.0,"<p>HeadLine : Near Timber-Linn Memorial Park</p><p>Location : Located in Albany, Phoenix Inn Suites - Albany is within a 5-minute drive of Timber-Linn Memorial Park and Linn County Expo Center.  This hotel is 13.6 mi (21.9 km) from Oregon State University and 1.8 mi (2.8 km) from Hackleman District.</p><p>Rooms : Make yourself at home in one of the 93 air-conditioned rooms featuring refrigerators and microwaves. Your pillowtop bed comes with premium bedding. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers.</p><p>Dining : A complimentary buffet breakfast is served on weekends from 7:00 AM to 10:00 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",24-hour business center Fitness facilities Free self parking elevator Laundry facilities Hiking/biking trails nearby Coffee/tea in common areas Smoke-free property Safe-deposit box at front desk Golfing nearby Barbecue grill(s) Wheelchair-accessible meeting spaces/business center 24-hour front desk Business center Express check-out Free breakfast No accessible shuttle Free Buffet Breakfast Fireplace in lobby Accessible bathroom (in select rooms) Roll-in shower (in select rooms) Free newspapers in lobby In-room accessibility (in select rooms) Number of indoor pools - 1 Assistive listening devices available Well-lit path to entrance Braille or raised signage Free WiFi Wheelchair-accessible registration desk Wheelchair-accessible path to elevator Number of meeting rooms - 3 Wheelchair-accessible van parking Vending machine Wheelchair accessible (may have limitations) Mountain biking nearby Dry cleaning/laundry service,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Timber-Linn Memorial Park - 0.5 km / 0.3 mi <br /> Linn County Expo Center - 2 km / 1.2 mi <br /> Hackleman District - 2.8 km / 1.8 mi <br /> Takena Landing Park - 3 km / 1.9 mi <br /> Willamette River - 3.6 km / 2.2 mi <br /> Monteith District - 4.4 km / 2.7 mi <br /> The Albany Brass Ring Historical Carousel and Museum - 4.4 km / 2.7 mi <br /> Calapooia River - 5.3 km / 3.3 mi <br /> Bowers Rock State Park - 7.1 km / 4.4 mi <br /> South Santiam River - 9.9 km / 6.2 mi <br /> Santiam River - 10.8 km / 6.7 mi <br /> Springhill Cellars Winery - 11.2 km / 7 mi <br /> North Santiam River - 16 km / 9.9 mi <br /> Hoffman Bridge - 16.8 km / 10.4 mi <br /> McDonald Dunn Forest - 18.4 km / 11.4 mi <br /> </p><p>The nearest airports are:<br />Mahlon Sweet Field Airport (EUG) - 77.2 km / 48 mi<br /> Corvallis  OR (CVO-Corvallis Municipal) - 32.9 km / 20.4 mi<br /> Salem  OR (SLE-McNary Field) - 34.7 km / 21.6 mi<br /> </p><p></p>,3410 Spicer Dr Se Albany 97322Oregon ,97322,5419265696,http://www.phoenixinn.com/albany/
Oregon,Albany,44.638564,-123.071442,Motel 6 Albany,2.0,"<p>HeadLine : Near Takena Landing Park</p><p>Location : Located in Albany, Motel 6 Albany, OR is within a 5-minute drive of Linn County Expo Center and Takena Landing Park.  This motel is 14.2 mi (22.9 km) from Oregon State University and 0.9 mi (1.5 km) from Willamette River.</p><p>Rooms : Make yourself at home in one of the 43 air-conditioned rooms featuring flat-screen televisions. Cable television is provided for your entertainment. Conveniences include phones with free local calls.</p><p>Dining : At Motel 6 Albany, OR, enjoy a satisfying meal at the restaurant.</p><p>Renovations : Due to COVID-19, this propertys food and beverage options may be limited.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.  Due to COVID-19, this property s food and beverage options may be limited pursuant to local regulations. This property allows guests 18 or over to check in with valid military ID.</p>",Laundry facilities Restaurant Tours/ticket assistance Wheelchair accessible path of travel Wheelchair accessible parking Self parking (surcharge) Wheelchair-accessible concierge desk Wheelchair-accessible van parking Stair-free path to entrance Designated smoking areas,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Willamette River - 1.5 km / 1 mi <br /> Linn County Expo Center - 1.9 km / 1.2 mi <br /> Takena Landing Park - 2.1 km / 1.3 mi <br /> Timber-Linn Memorial Park - 2.8 km / 1.7 mi <br /> Monteith District - 3.5 km / 2.2 mi <br /> The Albany Brass Ring Historical Carousel and Museum - 3.7 km / 2.3 mi <br /> Calapooia River - 3.7 km / 2.3 mi <br /> Bowers Rock State Park - 6.1 km / 3.8 mi <br /> South Santiam River - 9.4 km / 5.8 mi <br /> Santiam River - 9.5 km / 5.9 mi <br /> North Santiam River - 9.6 km / 6 mi <br /> Springhill Cellars Winery - 9.7 km / 6 mi <br /> McDonald Dunn Forest - 17.5 km / 10.9 mi <br /> Peavy Arboretum - 18.5 km / 11.5 mi <br /> Good Samaritan Regional Medical Center - 19.4 km / 12 mi <br /> </p><p>The nearest airports are:<br />Salem  OR (SLE-McNary Field) - 33.6 km / 20.9 mi<br /> Corvallis  OR (CVO-Corvallis Municipal) - 28.9 km / 17.9 mi<br /> </p><p>The preferred airport for Motel 6 Albany  OR is Salem  OR (SLE-McNary Field). </p>,2735 Pacific Boulevard Southeast Interstate-5 at Pacific Boulevard Exit 234/234-BAlbanyOregon 97321 ,97321,5419264233,http://www.motel6.com/reservations/motel_detail.as
Oregon,Albany,44.641453,-123.064761,Super 8 Albany,2.0,"<p>HeadLine : Near Takena Landing Park</p><p>Location : With a stay at Super 8 by Wyndham Albany in Albany, you ll be within a 5-minute drive of Linn County Expo Center and Timber-Linn Memorial Park.  This hotel is 13.2 mi (21.3 km) from Oregon State University and 1.1 mi (1.8 km) from Takena Landing Park.</p><p>Rooms : Make yourself at home in one of the 71 guestrooms featuring refrigerators and microwaves. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include desks and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : A complimentary on-the-go breakfast is served daily from 6:30 AM to 9:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards and debit cards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.  This property does not accept prepaid credit or debit cards at check-in for all bookings where payment for the stay will be made on site instead of at the time of booking, and for all purchases made on site, including incidentals.</p>",24-hour business center Free self parking Laundry facilities Daily 24-hour front desk Handrails in stairways Multilingual staff Express check-out Free breakfast Free breakfast to go Free newspapers in lobby Wheelchair accessible parking In-room accessibility (in select rooms) Well-lit path to entrance Number of outdoor pools - 1 Number of spa tubs - 1 Designated smoking areas Wheelchair-accessible public washroom Wheelchair-accessible pool Free WiFi Television in common areas Wheelchair-accessible registration desk Pool access ramp on site Swimming pool Wheelchair accessible (may have limitations) Uncovered parking secured parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Takena Landing Park - 1.3 km / 0.8 mi <br /> Linn County Expo Center - 1.3 km / 0.8 mi <br /> Willamette River - 1.5 km / 1 mi <br /> Timber-Linn Memorial Park - 1.9 km / 1.2 mi <br /> Hackleman District - 2.6 km / 1.6 mi <br /> The Albany Brass Ring Historical Carousel and Museum - 4.2 km / 2.6 mi <br /> Monteith District - 4.2 km / 2.6 mi <br /> Calapooia River - 4.9 km / 3 mi <br /> Bowers Rock State Park - 6.8 km / 4.2 mi <br /> South Santiam River - 9 km / 5.6 mi <br /> Santiam River - 9 km / 5.6 mi <br /> Springhill Cellars Winery - 10.5 km / 6.5 mi <br /> North Santiam River - 15 km / 9.3 mi <br /> McDonald Dunn Forest - 17.7 km / 11 mi <br /> Good Samaritan Regional Medical Center - 18.1 km / 11.3 mi <br /> </p><p>The nearest airports are:<br />Mahlon Sweet Field Airport (EUG) - 78.2 km / 48.6 mi<br /> Corvallis  OR (CVO-Corvallis Municipal) - 29 km / 18 mi<br /> Salem  OR (SLE-McNary Field) - 33.6 km / 20.9 mi<br /> </p><p>The preferred airport for Super 8 by Wyndham Albany is Mahlon Sweet Field Airport (EUG). </p>,315 Airport Road South East AlbanyOregon 97322 ,97322,5419286322,http://www.super8.com/hotels/oregon/albany/super-8-albany-or/hotel-overview
Oregon,Albany,44.630836,-123.05754,Rodeway Inn Albany,2.0,"<p>HeadLine : Near Timber-Linn Memorial Park</p><p>Location : A stay at Rodeway Inn places you in the heart of Albany, just a 3-minute walk from Timber-Linn Memorial Park and within a 5-minute drive of Linn County Expo Center.  This hotel is 13.9 mi (22.3 km) from Oregon State University and 2 mi (3.2 km) from Hackleman District.</p><p>Rooms : Make yourself at home in one of the 76 guestrooms featuring refrigerators and microwaves. LED televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include desks and irons/ironing boards, as well as phones with free local calls.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Fitness facilities Free self parking Laundry facilities Stair-free path to entrance Wheelchair accessible parking Coffee/tea in common areas Upper floors accessible by stairs only Assistive listening devices available Well-lit path to entrance Designated smoking areas Free WiFi 24-hour front desk Handrails in stairways Wheelchair accessible  no Free RV  bus  truck parking,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Timber-Linn Memorial Park - 0.3 km / 0.2 mi <br /> Linn County Expo Center - 1.7 km / 1 mi <br /> Hackleman District - 3.5 km / 2.2 mi <br /> Takena Landing Park - 3.8 km / 2.3 mi <br /> Willamette River - 4 km / 2.5 mi <br /> Monteith District - 4.5 km / 2.8 mi <br /> The Albany Brass Ring Historical Carousel and Museum - 5 km / 3.1 mi <br /> Calapooia River - 5.7 km / 3.5 mi <br /> Bowers Rock State Park - 7.7 km / 4.8 mi <br /> South Santiam River - 9.7 km / 6.1 mi <br /> Santiam River - 10.2 km / 6.3 mi <br /> Springhill Cellars Winery - 11 km / 6.8 mi <br /> North Santiam River - 16.3 km / 10.1 mi <br /> Hoffman Bridge - 16.7 km / 10.4 mi <br /> Larwood Bridge - 18.5 km / 11.5 mi <br /> </p><p>The nearest airports are:<br />Mahlon Sweet Field Airport (EUG) - 77.6 km / 48.2 mi<br /> Corvallis  OR (CVO-Corvallis Municipal) - 33.3 km / 20.7 mi<br /> Salem  OR (SLE-McNary Field) - 34.6 km / 21.5 mi<br /> </p><p>The preferred airport for Rodeway Inn is Mahlon Sweet Field Airport (EUG). </p>,1212 Se Price Road AlbanyOregon 97322 ,97322,5419260170,https://www.choicehotels.com/oregon/albany/rodeway-inn-hotels/or158
Oregon,Albany,44.644203,-123.05649,Holiday Inn Express & Suites Albany,2.0,"<p>HeadLine : Near Linn County Expo Center</p><p>Location : A stay at Holiday Inn Express & Suites Albany, an IHG Hotel places you in the heart of Albany, within a 15-minute walk of Linn County Expo Center and Timber-Linn Memorial Park.  This spa hotel is 13.7 mi (22 km) from Oregon State University and 1.6 mi (2.6 km) from Takena Landing Park.</p><p>Rooms : Make yourself at home in one of the 71 air-conditioned rooms featuring microwaves and flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with bathtubs or showers feature complimentary toiletries and hair dryers. Conveniences include desks and complimentary newspapers, as well as phones with free local calls.</p><p>Dining : A complimentary buffet breakfast is included.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a smoke detector, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",Wheelchair-accessible pool Wheelchair-accessible public washroom Well-lit path to entrance Internet access in public areas - high speed Stair-free path to entrance Full-service spa Luggage storage Business center 24-hour front desk Golfing nearby Safe-deposit box at front desk Sauna Free self parking Computer station Wheelchair accessible path of travel Pool sun loungers Gift shops or newsstand Dry cleaning/laundry service Swimming pool Limo or Town Car service available Free WiFi Number of spa tubs - 1 Braille or raised signage Assistive listening devices available Number of indoor pools - 1 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Internet access - wireless Accessible bathroom (in select rooms) Free Buffet Breakfast Free breakfast Multilingual staff Wheelchair-accessible meeting spaces/business center Coffee/tea in common areas Laundry facilities elevator Fitness facilities Uncovered parking Wheelchair accessible (may have limitations) Ballroom Vending machine Wheelchair-accessible van parking Meeting rooms Wheelchair-accessible path to elevator Wheelchair-accessible registration desk Pool hoist on site Television in common areas,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Linn County Expo Center - 0.5 km / 0.3 mi <br /> Timber-Linn Memorial Park - 0.9 km / 0.6 mi <br /> Takena Landing Park - 2 km / 1.2 mi <br /> Willamette River - 2.5 km / 1.6 mi <br /> Hackleman District - 3.8 km / 2.4 mi <br /> The Albany Brass Ring Historical Carousel and Museum - 4.9 km / 3 mi <br /> Monteith District - 4.7 km / 2.9 mi <br /> Calapooia River - 5.4 km / 3.3 mi <br /> Bowers Rock State Park - 7.6 km / 4.7 mi <br /> South Santiam River - 8 km / 5 mi <br /> Santiam River - 8.1 km / 5 mi <br /> Springhill Cellars Winery - 10.7 km / 6.6 mi <br /> North Santiam River - 14.6 km / 9.1 mi <br /> Hoffman Bridge - 17.4 km / 10.8 mi <br /> McDonald Dunn Forest - 18.4 km / 11.4 mi <br /> </p><p>The nearest airports are:<br />Portland International Airport (PDX) - 121.3 km / 75.4 mi<br /> Corvallis  OR (CVO-Corvallis Municipal) - 30.1 km / 18.7 mi<br /> Salem  OR (SLE-McNary Field) - 32.9 km / 20.4 mi<br /> </p><p>The preferred airport for Holiday Inn Express & Suites Albany  an IHG Hotel is Portland International Airport (PDX). </p>,105 Opal Ct AlbanyOregon 97321 ,97321,5419288820,http://www.ihg.com/holidayinnexpress/hotels/de/de/albany/alnkb/hoteldetail
